# Fig. 7 (fig:momrgerrorHS): momentum-cutoff RG, off-diagonal HS bound of [v5] eq. (235), square root; even in k, zero for k=0,+-1 in the NS sector.
N              k2             k3             k4
5              1.98570910e-03 9.91174605e-03 2.88465875e-02
6              4.96818327e-04 2.48304012e-03 7.23957162e-03
7              1.24229034e-04 6.21079427e-04 1.81164265e-03
8              3.10587870e-05 1.55289826e-04 4.53020091e-04
9              7.76479229e-06 3.88237046e-05 1.13261863e-04
10             1.94120404e-06 9.70600417e-06 2.83158933e-05
