# Fig. 6 (fig:momrgerrork): momentum-cutoff RG, M=3, NS sector, k=0,+-1,+-2. Diagonal bound of [v5] eq. (235), square root.
N              kp2            kp1            k0             km1            km2
5              5.54036896e-01 6.82666644e-01 8.47108714e-01 1.05305687e+00 1.30637831e+00
6              1.40541074e-01 1.73375171e-01 2.15544047e-01 2.68645786e-01 3.34375945e-01
7              3.52635067e-02 4.35148341e-02 5.41241647e-02 6.75022981e-02 8.40880222e-02
8              8.82391118e-03 1.08894263e-02 1.35459686e-02 1.68969487e-02 2.10530044e-02
9              2.20648026e-03 2.72302687e-03 3.38742578e-03 4.22557417e-03 5.26519042e-03
10             5.51651474e-04 6.80798617e-04 8.46914808e-04 1.05647712e-03 1.31641884e-03
