# Fig. 4 (fig:waveleterrork): wavelet RG, c=0, k=0, M=3. sob<s>K<K> = Error(s,L,0,N)*||shat(eps_M .)||_{h^{1+s}}, [v5] eqs. (262)-(263); true<K> = the exact error, same quantity as figure3.dat at M=3.
N              sobhK4         sobhK8         sobhK10        sob1K8         sob1K10        sob3hK8        sob3hK10       sob2K8         sob2K10        trueK8         trueK10
4              2.06852352e+01 1.61068257e+01 1.58570139e+01 1.07964335e+01 1.04181673e+01 9.00076563e+00 8.09568964e+00 1.79412766e+01 9.51174613e+00 5.73858310e+00 5.38933919e+00
5              1.46266701e+01 1.13892457e+01 1.12126021e+01 5.39821675e+00 5.20908363e+00 3.18225121e+00 2.86225852e+00 4.48531914e+00 2.37793653e+00 1.79767293e+00 1.53113275e+00
6              1.03426176e+01 8.05341286e+00 7.92850697e+00 2.69910838e+00 2.60454182e+00 1.12509570e+00 1.01196120e+00 1.12132979e+00 5.94484133e-01 5.30974366e-01 4.06100368e-01
7              7.31333505e+00 5.69462284e+00 5.60630104e+00 1.34955419e+00 1.30227091e+00 3.97781401e-01 3.57782315e-01 2.80332446e-01 1.48621033e-01 1.51972922e-01 1.04540143e-01
8              5.17130881e+00 4.02670643e+00 3.96425348e+00 6.74777094e-01 6.51135454e-01 1.40636963e-01 1.26495151e-01 7.00831116e-02 3.71552583e-02 4.27458871e-02 2.65481636e-02
