# Fig. 3 (fig:waveleterrorM): wavelet RG, c=0, k=0. ( sum_m |f^(N)_0(M,m)-f_0(M,m)|^2 )^{1/2}, [v5] Lemma 4.7 / eq. (262).
N              M5K8           M5K10          M4K8           M4K10          M3K8           M3K10
5              1.23226525e+02 1.20399999e+02 1.62311641e+01 1.52433532e+01 1.79767293e+00 1.53113275e+00
6              4.59086648e+01 4.31147135e+01 5.08458688e+00 4.33069741e+00 5.30974366e-01 4.06100368e-01
7              1.43813835e+01 1.22490620e+01 1.50182230e+00 1.14862530e+00 1.51972922e-01 1.04540143e-01
8              4.24779493e+00 3.24880295e+00 4.29844334e-01 2.95684177e-01 4.27458871e-02 2.65481636e-02
