# Fig. 5 (fig:momrgerrorM): momentum-cutoff RG, c=1/2,1, k=0, NS sector. Diagonal bound of [v5] eq. (235), square root.
N              M3             M4             M5
5              8.47108714e-01 9.01310814e+00 7.70531879e+01
6              2.15544047e-01 2.41998408e+00 2.55497675e+01
7              5.41241647e-02 6.15916646e-01 6.86174553e+00
8              1.35459686e-02 1.54669774e-01 1.74651502e+00
9              3.38742578e-03 3.87107340e-02 4.38594274e-01
10             8.46914808e-04 9.68039114e-03 1.09771777e-01
